
ORD000001,2026-02-21 16:28:36,Dadar,REST_C,19.224561,72.909148,16,6,832,Normal,Online,1,2.04,2,Medium,Rain,0,15,9,3,1.65,2.1,16,32,41,9
ORD000002,2026-02-21 11:55:08,Powai,REST_E,19.012491,72.900171,12,1,752,High,Online,3,2.71,3,Medium,Cloudy,1,15,2,5,2.03,1.81,11,23,44,21
ORD000003,2026-02-21 17:05:16,Andheri West,REST_C,19.144707,72.812826,18,1,921,High,COD,2,1.18,3,Low,Clear,1,4,3,3,1.21,0.65,3,21,45,24
ORD000004,2026-02-21 17:51:25,Powai,REST_D,19.17363,72.862688,24,6,936,Normal,Online,2,2.63,3,Medium,Clear,1,12,6,0,1.08,1.45,11,35,36,1
ORD000005,2026-02-21 14:03:43,Kurla,REST_E,19.225619,72.817254,15,3,124,Normal,COD,4,2.89,3,High,Clear,0,15,2,3,1.03,6.01,30,45,36,-9
ORD000006,2026-02-21 13:30:31,Bandra West,REST_A,19.244511,72.889174,14,1,814,Normal,COD,8,0.27,3,High,Cloudy,0,3,7,5,1.62,6.12,30,44,31,-13
ORD000007,2026-02-21 17:56:22,Andheri West,REST_D,19.074271,72.826722,18,6,1189,Normal,Online,3,0.38,4,High,Clear,1,8,10,3,1.29,5.36,34,52,30,-22
ORD000008,2026-02-21 16:18:05,Dadar,REST_E,19.140512,72.846221,15,5,696,Normal,COD,4,3.04,2,High,Cloudy,0,10,10,6,1.56,1.96,12,27,35,8
ORD000009,2026-02-21 16:05:35,Dadar,REST_C,19.065798,72.937113,14,4,205,High,Online,3,1.68,2,Low,Rain,1,11,1,8,1.42,1.41,9,23,32,9
ORD000010,2026-02-21 13:58:57,Goregaon,REST_D,19.064249,72.929668,15,2,439,High,Online,4,0.98,2,Low,Rain,1,8,0,1,1.63,1.28,10,25,48,23
ORD000011,2026-02-21 13:23:29,Bandra West,REST_D,19.12987,72.949952,25,5,1157,Normal,Online,1,1.43,4,Medium,Cloudy,1,0,8,7,2.41,1.83,9,34,38,4
ORD000012,2026-02-21 17:54:51,Kurla,REST_C,19.193861,72.946977,22,4,463,Normal,COD,1,1.82,4,Low,Rain,1,3,1,0,1.73,4.98,24,46,32,-14
ORD000013,2026-02-21 18:05:31,Kurla,REST_A,19.170949,72.916339,9,2,1085,Normal,Online,3,0.74,3,Low,Clear,1,7,4,5,1.89,2.33,18,27,48,21
ORD000014,2026-02-21 11:24:13,Powai,REST_B,19.221599,72.862836,21,3,1162,High,Online,3,1.15,2,Low,Clear,1,3,4,0,1.2,4.47,35,56,34,-22
ORD000015,2026-02-21 16:49:20,Andheri East,REST_A,19.104903,72.842609,19,4,1169,Normal,COD,8,3.51,4,Medium,Cloudy,0,13,8,0,1.79,3.42,27,46,34,-12
ORD000016,2026-02-21 14:29:12,Powai,REST_A,19.060701,72.924395,22,5,564,High,COD,5,0.53,4,High,Rain,1,12,6,0,1.03,3.11,24,46,42,-4
ORD000017,2026-02-21 18:17:37,Andheri East,REST_C,19.124138,72.929382,8,4,378,High,COD,7,0.71,3,Medium,Cloudy,1,2,6,2,1.36,4.32,21,29,45,16
ORD000018,2026-02-21 14:00:23,Powai,REST_E,19.185504,72.901546,20,6,899,High,COD,4,1.9,4,Low,Clear,0,9,0,4,1.5,6.53,52,72,30,-42
ORD000019,2026-02-21 11:30:51,Kurla,REST_B,19.235977,72.822201,11,6,1043,Normal,Online,5,2.94,3,Low,Cloudy,0,9,3,8,2.12,4.7,23,34,42,8
ORD000020,2026-02-21 11:52:33,Bandra West,REST_E,19.053666,72.917539,25,4,816,Normal,Online,2,1.39,2,High,Rain,1,15,0,7,1.77,2.06,16,41,50,9
ORD000021,2026-02-21 13:47:50,Bandra West,REST_D,19.194237,72.944228,12,3,425,Normal,Online,4,2.34,3,High,Cloudy,1,5,5,0,1.99,6.51,32,44,44,0
ORD000022,2026-02-21 16:23:51,Bandra West,REST_C,19.192791,72.896809,13,6,433,Normal,COD,2,1.54,4,Low,Cloudy,0,11,10,6,1.91,2.39,15,28,44,16
ORD000023,2026-02-21 12:17:49,Bandra West,REST_E,19.130706,72.935294,20,1,278,High,COD,2,2.55,3,Low,Clear,1,7,10,3,2.01,4.24,33,53,47,-6
ORD000024,2026-02-21 11:52:25,Powai,REST_E,19.2055,72.890086,15,2,126,Normal,Online,6,3.05,2,Medium,Clear,1,12,9,6,2.0,6.15,39,54,41,-13
ORD000025,2026-02-21 16:37:27,Dadar,REST_A,19.181023,72.894638,14,5,148,Normal,COD,5,2.8,4,High,Cloudy,1,14,4,0,2.3,5.45,35,49,31,-18
ORD000026,2026-02-21 18:22:36,Goregaon,REST_B,19.002298,72.945251,19,6,506,High,Online,3,1.67,4,Low,Cloudy,1,15,6,7,1.55,0.53,2,21,44,23
ORD000027,2026-02-21 13:34:19,Goregaon,REST_E,19.217119,72.893071,16,2,983,High,Online,3,0.49,2,Medium,Clear,0,5,5,5,1.34,1.85,14,30,47,17
ORD000028,2026-02-21 16:23:50,Dadar,REST_A,19.044549,72.930769,23,2,378,High,COD,6,1.94,3,High,Clear,1,12,3,6,2.34,0.84,5,28,38,10
ORD000029,2026-02-21 16:41:57,Andheri East,REST_C,19.088975,72.813425,15,1,921,High,COD,5,0.88,3,Low,Rain,0,12,5,8,2.4,1.84,14,29,34,5
